id,redemption_status
3,0.9280635651928724
4,2.587577955222203e-06
5,4.576977615852574e-09
8,8.319893449655555e-10
10,1.3369553719405402e-09
12,9.389413090936539e-07
13,2.079111340034753e-08
16,1.3403735283585986e-09
18,1.5596921240105158e-07
31,6.051835889504392e-09
36,1.4399848971555987e-08
37,1.377057385721642e-08
38,5.61855391828057e-09
40,2.498634579881502e-09
41,8.574747179684806e-09
44,8.277870440053763e-09
47,9.890135119255876e-07
49,4.800821118774992e-09
50,1.0623274961925217e-08
53,3.8079529836556953e-07
57,6.899226801525175e-09
59,6.095761421133655e-09
60,8.232607309333696e-09
64,9.58298696380361e-10
67,9.914137193031854e-08
68,1.0243706570461825e-08
70,1.2199888727110245e-08
73,9.505153218825374e-09
76,3.1543912653765517e-09
78,5.765333430870413e-09
81,8.151028356801152e-08
87,9.273979812648067e-08
89,5.0396092164654034e-09
94,8.533223588467563e-08
96,1.0969914815082094e-08
98,1.5267357701580395e-08
100,1.636734506954144e-08
105,3.0036701656761876e-07
108,1.3102813394804346e-08
109,3.4986887939378883e-09
111,3.919354538579477e-09
112,2.6707917847084763e-07
114,3.0599383920676477e-07
116,0.004874236979421708
119,1.7205999682439732e-06
120,7.1395697776460965e-09
126,1.6237013743918966e-07
127,4.1506651044494396e-08
128,7.017155750576788e-08
132,9.354270105007047e-09
133,2.274876557811081e-09
138,1.2450608733491821e-08
140,5.7926062875854694e-09
143,1.4696747606661586e-08
145,3.049118478857374e-08
147,6.856906515638603e-09
148,2.4112466423863254e-07
149,9.090412141139207e-09
150,8.57685138786748e-09
153,3.009117006404119e-08
157,3.0515773710766835e-09
162,2.2583340208199468e-08
163,8.504478923048612e-09
166,7.224658991183659e-09
168,1.0218198366682101e-08
173,5.906538511807422e-09
174,3.967817381240924e-09
175,7.955100772840391e-09
177,2.4170972585422162e-09
178,5.36817274863387e-08
185,1.923900682139235e-09
189,1.5361645223449725e-07
190,1.4804173275978233e-09
191,2.6350977793195837e-09
199,0.0075363194747690805
201,6.861995096823796e-09
203,7.385984076382181e-09
204,9.303769118994265e-09
210,9.238172091582748e-06
211,1.6574079265218687e-08
212,2.054750590584143e-09
216,5.44751003189933e-09
223,3.456805193240968e-08
226,1.0685707970857226e-08
227,2.558399277745727e-06
229,1.0470190031953145e-08
232,1.3030419980786197e-08
234,3.370468687578739e-09
235,5.307665789383148e-09
236,1.5585519584515384e-06
237,1.7084817123194625e-09
244,1.0721747653185143e-08
245,7.506560397140021e-09
246,7.497950248263808e-09
248,1.2253094069108818e-08
249,3.8092114197824474e-06
251,1.317744581664194e-07
252,9.229204001678507e-10
253,3.473127625758317e-08
256,5.3045297005797095e-08
257,7.058274849270239e-09
258,6.910469225940061e-09
263,4.791455032554585e-09
268,6.353645883214011e-09
271,7.0633625803664115e-09
272,8.409354547324483e-09
274,2.308148332547577e-07
276,9.23946403245079e-09
278,7.379150696391519e-09
280,6.945329046782257e-09
281,1.443211608098129e-09
285,2.0134282624613485e-08
288,5.335111721344251e-09
289,1.2668704481387097e-06
294,8.262455203905835e-09
296,1.5004370462192794e-08
297,4.520288848607491e-09
300,6.048886835437397e-09
302,1.4759495035417085e-08
303,5.509618163004203e-08
310,2.2521169972772985e-07
311,9.664587102889818e-09
312,2.057237407015309e-08
314,5.312716305695051e-09
315,2.21575035921555e-09
319,1.2193592410587568e-08
323,4.0352692008079695e-07
324,9.756633118935385e-09
327,7.878659216405021e-08
333,3.0165520646992457e-09
334,2.432609673632367e-09
338,1.919684712317903e-09
339,2.8262093477865004e-09
340,2.9494528636632255e-09
341,3.27717736899062e-09
344,1.510454778784824e-08
